Grade,Review,ItemNm
1,"별1개도 아깝습니다. 부모님댁에 선물로 사드린건데 처음 받았을때부터 제대로 동작을 안하더니 혹시나 부모님댁 공기가 정말 나쁜건가 싶어 저희집에 있던걸 가져가서 같이 동작시켜봤는데 불량보냈네요..반품요청을 했더니 반품은 불가하다며 AS요청해서 기사님이 확인해보고 교환사항이면 거기로 교환진행 하라니.. 이건 무슨 판매방식인거죠? 일단 삿으면 환불은 불가다??

어머니께서 시간내서 AS기사가 불렀는데 AS기사도 못고치고 돌아갔습니다.환불해달라니 절대 안된다고 하네요. 장애증상은 제대로 설명 못하면서..다른기사 보내달라고 AS재요청했습니다. 어머니가 시간안되서 안써도될 금쪽같은 반차까지 써가면서..두번째 기사분은 장비결함 인정하시고 교환해주겠다고 들고가셔서 새거보내줬습니다. 이번에도 반품은 안되네요. 그런데 새로 보내준것도 정상이 아니네요..AS기사 또 다시 불러서 장애증상 보여주고 수리받았습니다. 새제품 수리받아서 쓰는 찝찝함 안고 그냥 사용해야되네요.반품은 안되니까요.

드린건데 부모님도 저도 이번일로 굉장히 스트레스받았고 제품도, 온라인 판매방식도, AS도 전부 실망했고 LG에 대한 신뢰감이 안드네요.
구입하시는분들 참고하시길 바랍니다",LG전자 LG퓨리케어 AS171DWFC
1,제품마다 차이는 있겠지만 밑바닥 부분 하얗게 사출이 심한편이라니까 속상하네요. 최선의 안내셨을지 모르시겠지만 플라스틱 사출로 보인다고 LG AS센터로 연락하라는 대처는 좀 .. 사용하지도 못하고 아무것도 못하는 구매자 입장에서는 불편했어요.,LG전자 LG퓨리케어 AS171DWFC
1,"상품은 늘 쓰던 LG전자의 새 제품이라 역시 만족스럽고, 배송도 잘 해주셨습니다.
저는 선물로 이 상품을 구입했는데, 네이버에서는 선물하기는 구매확정이 자체로 안되고 시간이 지나면 자동확정되는 시스템이더라구요.
근데 그 구매확정기간 동안 저와 선물받은 사람 양쪽에게 매일 문자로 독촉하듯이 구매확정해달라고 문자오는게 매우 불쾌했습니다. 소매유통도 나름 서비스업인데, 그 며칠을 못기다리고 구매자를 불쾌하게 만드는 판매자에게 좋은 점수를 드릴 수 없어 1점을 드립니다. (상품의 평점이 아님을 거듭 말씀드립니다.)",LG전자 LG퓨리케어 AS171DWFC
1,조아요죠아요조아요조아요,LG전자 LG퓨리케어 AS171DWFC
1,제품하자 as만 3번 기사님이 오셨음 교체까지 두달,LG전자 LG퓨리케어 AS171DWFC
1,아무리 마케팅용 이미지라고 하지만 사진이 제품하고 같은 제대로 된 사진으로 올려야 하지 않나요? 사기당한 기분이네~ 별 하나도 아까움,LG전자 LG퓨리케어 AS171DWFC
1,응대 서비스가 별로였어요,LG전자 LG퓨리케어 AS171DWFC
1,설치해준다고하고 문앞에두고감,LG전자 LG퓨리케어 AS171DWFC
1,이유없이 환불되었습니다,LG전자 LG퓨리케어 AS171DWFC
3,"포장상태가 엉망이었어요.
노끈만 제거했을 뿐인데, 제품이 나오더라구여,
비닐도 찢겨져있어서 처음엔 리퍼제품을 팔아서 일케 싼가..싶었어요. 씽큐 연결하는 QR코드도 없고,,
너무 화가 났지만, 사용해보니 정상적으로 잘 작동하고, 제품찾아서 정상적으로 연결되서 그냥 사용합니다.
그래두 소비자인데, 포장상태에 대해 사전 고지가 있었으면 좋겠어요.",LG전자 LG퓨리케어 AS171DWFC
3,"배송도 빠르고, 제품은 브랜드 제품이라 품질은 좋을거라 생각되요.
다만 아쉬운 점이 사진처럼 공기청정기 내부에 기스가 군데군데 있네요. 반품하기에는 번거로워 구매확정합니다.",LG전자 LG퓨리케어 AS171DWFC
3,"상품은 만족하나 배송이 아쉽네요
배송중 신경을 써야될거 같네요",LG전자 LG퓨리케어 AS171DWFC
3,조아요조아요조아요조아요조아,LG전자 LG퓨리케어 AS171DWFC
3,조이ㅜ요조아요조아요조아요,LG전자 LG퓨리케어 AS171DWFC
3,기계 고장인지 오랜시간 동안 미세먼지 있다고 뜨네요,LG전자 LG퓨리케어 AS171DWFC
3,한달 사용하다보니 냄새는 그렇게 싹 가시지 않네요. 오늘도 배추 된장국 끓였는데 나갔다 들어 오니 된장냄새가 계속 나네요ㅜㅜ,LG전자 LG퓨리케어 AS171DWFC
3,자꾸 중간중간 꺼져서 AS기사님 한번 다녀가셨는데 또 그래요,LG전자 LG퓨리케어 AS171DWFC
3,"굿굿굿
굿굿굿
굿굿굿",LG전자 LG퓨리케어 AS171DWFC
3,소음이 매우 적어 사용하기 편리합니다.,LG전자 LG퓨리케어 AS171DWFC
3,고민많이 했는데 만족스러워요,LG전자 LG퓨리케어 AS171DWFC
3,잘 받앗습니다 택배도착한게 너무 던져놓고간거같아서 기분은 별로였어요 ㅠㅠㅋ 잘쓸게요,LG전자 LG퓨리케어 AS171DWFC
3,사용잘하고 있어요 그런데 배송이 오래걸리네요,LG전자 LG퓨리케어 AS171DWFC
3,위에 먼지가 잘 끼네요 ㅠ,LG전자 LG퓨리케어 AS171DWFC
3,좋음,LG전자 LG퓨리케어 AS171DWFC
4,"공기청정기 여러 제품비교 고민 하다 믿음이 가는 엘지거로 했어요 이보다 저렴한 제품도 있었지만 조금 더 주더라도 좋은걸 사고싶었고 엘지것도 기능 가격면에서 다양하지만
저희집에서 쓰기에 합리적인 제품같아서 푸리케어로 선택했어요 디자인이나 선택버튼도 간단하고 좋네요
몇시간째 틀어놓아도 빨강색에서 주황 초록으로 넘어가지 않고 다시 바로 빨강색 주황 계속 왔다갔다 수치도 떨어지지 않고 초록색은 나오지도 않아요 바로 AS신청 했네요
사자마자 as신청하니까 바로 저녁에 기사님이
바로 오셨고요 기계가 고장난거나 그런건 아니라고 센서 면봉으로 닦아준거 외엔 한게없는데 불이 단계별로 넘어가 정상적으로 불빚이 바뀌네요 저희집이 공기가 안좋은건지 파란불은 잘 안나오네요 그래도 지금은 공기청정기가 저희집 공기를 위해 열일 하고있어요",LG전자 LG퓨리케어 AS171DWFC
4,"이게 잘 되는건지 조금 애매합니다. 구매하고 얼마 안있어서 고장나서 수리 요청해서 불렀더니 내장된 와이파이칩이 문제가 있는 제품이라고 하네요ㅠ이후 또 고장날까봐 염려되는 마음으로 사용중인데, 새상품 as로 다 뜯었었어서 기분도 좀 그렇구.. 기분탓인지 센서가 잘 인식을 하는 것 같지도 않구..아주 만족이라고 못하겠습니다. 아 그리고 제품 자체에 대한 생각이지 구매처는 배송도 안전하고 빠르게 해주시고 좋았습니다!",LG전자 LG퓨리케어 AS171DWFC
4,사용한지 며칠 안돼서 성능은 아직 잘 모르겠습니다. 옆에서 요리를 하는데도 계속 청정으로 뜨기도 하고 가만히 앉아있는데 갑자기 빨간불 들어오면서 막 돌아가고..ㅎㅎ제게 이상한건지 원래 이런건지 공청기를 처음 써봐서 모르겠네요. 막 엄청 스마트하지는 않은듯ㅎ,LG전자 LG퓨리케어 AS171DWFC
4,빠른배송 좋았습니다 그런데 극초미세먼지와 초미세먼지가 하루에 5-6번정도 나쁨으로 바뀌고 계속 보통에서 두자리 숫자로 머물러있어서 집 공기가 안좋은건지 ㅠㅠ 아니면 공기청정제 문제인지 모르겠네요;; 필터에 먼지가 있는것을 보니 공기청정이 잘 되고 있는것 같아요 우선 믿고 사용해 보려고 합니다,LG전자 LG퓨리케어 AS171DWFC
4,방안이 쾌적해진 것 같아요! 조금 아쉬운건 공간 때문에 구석에 설치해놨는데 pm 센서가 뒤에 있더라구요 근데 그 뒤가 창문인데 바람이 좀 세서 들어오는데 그거를 인식해서 그런지 갑자기 빨간색이 되어서 풀가동을 하다가 다시 정상으로 돌아오고 그러더라구요 그 외엔 좋습니다,LG전자 LG퓨리케어 AS171DWFC
4,"공기가 깨끗해진 느낌이 듭니다.왠지 공기가 가볍다는 느낌이랄까요. (공기청정기는 처음 써봅니다.)그런데 제품박스 밑이 뚫려있는게 원래 그런건가요?(튼튼한 포장이기는 하지만, 끈을 가위로 자르고 박스를 드는데 밑이 빠져서 놀랐습니다.)",LG전자 LG퓨리케어 AS171DWFC
4,퀄리티는 좋은데~ 아직 사용은 안해봤지만 ~ 괜찮은제품 인것 같네요~ 이뻐요~^^ 다음에 또 구입할수있음 또 할께요~,LG전자 LG퓨리케어 AS171DWFC
4,"성능도 좋고 소리도 작고
기능 충분하고 좋네요",LG전자 LG퓨리케어 AS171DWFC
4,빠른배송감사합니다~~ 소음도 적고 디자인도 예쁨니다~~,LG전자 LG퓨리케어 AS171DWFC
4,취침기능(저소음 모드)가 없는 모델이에요 ㅠㅠ,LG전자 LG퓨리케어 AS171DWFC
4,"플라스틱 냄새가 아직은 안빠졌는데 빨리 빠지면 좋겠네요,, 미세먼지 수치가 눈에 보여 좋네요 모양은 이뻐요 더 써봐야 알 것 같아요",LG전자 LG퓨리케어 AS171DWFC
4,소음도 적고 방에 쓰기 그리 크지 않고 좋아요.배송 빠릅니다.,LG전자 LG퓨리케어 AS171DWFC
4,제품 디자인도 맘에들고 사용방법도 쉬워서 만족합니다,LG전자 LG퓨리케어 AS171DWFC
4,장모님댁에 공기청정기가 없어 사드렸는데 좋아하시네요 엘지 공기청정기는 믿고쓸수있죠 리모컨이 없어서 아쉽지만 스마트폰으로 끌수있으니 괜찮습니다.,LG전자 LG퓨리케어 AS171DWFC
4,사용하고 있는 제품이라 믿고 구매함 사용이 편리하고 공기가 정화되는게 눈으로 확인이 돼 믿음이 가는 제픔이며 무빙휠까지 설치하니 이동이 편리함ㆍ 다만 무빙휠 가격이 너무 비씬게 흠ㆍ,LG전자 LG퓨리케어 AS171DWFC
4,만족해서 재구매했습니다! 한주에 두개구매했는데 필터라도 하나 주셨으면 하는 마음이 쪼끔 드네요 ㅎㅎㅎ,LG전자 LG퓨리케어 AS171DWFC
4,"크기. 기능 둘다 만족합니다.
다만 이동을 의한 발판을 추가로 구입해야 편할듯 합니다.",LG전자 LG퓨리케어 AS171DWFC
4,좋아요 빠르게 냄새도 없어지는거 같아요,LG전자 LG퓨리케어 AS171DWFC
4,"제품 포장상태는 너무깨끗하고 완벽하게 도착이 마음에 듭니다.
성능은 생각했던것만큼 괜찮고요~ 여러날 더 사용을 해보고 다시 리뷰올리것습니당~~~~택배 도착은 주문다음날 바로 와서 마음에 듭니다. 완존 총알~~~~~",LG전자 LG퓨리케어 AS171DWFC
4,"소리도 별로 안크고, 요리 할 때나 창소할 때 좋아요",LG전자 LG퓨리케어 AS171DWFC
4,이동이 조금 번거롭지만 제품은 괜찮은거 같아요,LG전자 LG퓨리케어 AS171DWFC
4,퓨리케어가 좋다고해서 구매했습니다 잘쓸게요,LG전자 LG퓨리케어 AS171DWFC
4,배송도 빠르고 저렴한 가격에 잘산거 같아요,LG전자 LG퓨리케어 AS171DWFC
4,조용해서 좋아요 필터가 얼마나 오래가려나?,LG전자 LG퓨리케어 AS171DWFC
4,부모님 선물로 사드렸는데 좋아하시네요,LG전자 LG퓨리케어 AS171DWFC
4,배송도 빠르고 제품도 깔끔하고 좋아요~~,LG전자 LG퓨리케어 AS171DWFC
4,공기청정기가 생겨서 마음이 편해요,LG전자 LG퓨리케어 AS171DWFC
4,아주 잘쓰고 있어요 좋아요~,LG전자 LG퓨리케어 AS171DWFC
4,먼지 잘빨아드리고 좋아요,LG전자 LG퓨리케어 AS171DWFC
4,배송도 빠르고 조아요 ㅎ,LG전자 LG퓨리케어 AS171DWFC
4,소음이 적어서 만족함 !!,LG전자 LG퓨리케어 AS171DWFC
4,매번 구매해요 좋아요~,LG전자 LG퓨리케어 AS171DWFC
4,좋네요 마음에 들어요,LG전자 LG퓨리케어 AS171DWFC
4,착한가격 예쁜디자인,LG전자 LG퓨리케어 AS171DWFC
4,작동 잘하고 좋아요.,LG전자 LG퓨리케어 AS171DWFC
4,좋아요͙͙͙! 전에 좀 예민한 아이를 써서 옆에서 좀만 펄럭 거려도 돌아갓는데 얘는 미세랑 초미세에만 반응 하나바여.ŏ̥̥̥̥םŏ̥̥̥̥,LG전자 LG퓨리케어 AS171DWFC
4,저렴하게 구입했어요 감사합니다 잘쓸께요,LG전자 LG퓨리케어 AS171DWFC
