Grade,Review,ItemNm
1,포름알데히드를 제거하는지 잘 모르겠어요 판매처에 전화해도 안받네요..따로 산 측정기로는 수치가 2000넘는데 다이슨을 틀어놓고 전후 비교해도 다이슨은 양호하다고 나오고 수치상 변화가 없어요. 측정기는 2000넘고 위험수준으로 나오거든요..인테리어하고 이사가서 냄새가 너무심하고 아파서 샀는데...다이슨이 정말 voc를 파괴하는지..잘 모르겠네요..연락 부탁드립니다,다이슨 TP09 쿨 포름알데히드 공기청정기
1,한 두푼도 아닌데 검수가 제대로 안되나봐요…? 새상품 비닐 벗기자마자 스크래치 있어버리기.. 교환이 번거롭고 귀찮아서 그냥 씁니다만 스크래치 상품이나 리퍼 상품 싸게 판건가 싶은 기분이네요..,다이슨 TP09 쿨 포름알데히드 공기청정기
1,음 한달도 사용안했는데 고장인것 같아요…,다이슨 TP09 쿨 포름알데히드 공기청정기
1,"아기 있어서 샀는데
틈새 바람 나오는 곳에서 하얀 가루 날려서 나오는거 뭔가요??ㅡㅡ 공기청정이 아니고 이 날리는 이상한 미세 흰 플라스틱 같은것들 나와서
진짜 화났어요 가격도 비싼데
리모컨 인식도 느리고",다이슨 TP09 쿨 포름알데히드 공기청정기
1,"아놔 공식사이트 가격이 99만이네여
더 비싸게 샀네",다이슨 TP09 쿨 포름알데히드 공기청정기
1,타 사이트에 비해 비쌌는데 정품이라는 말에 hmall에 대한 신뢰로 구매했는데 2주만에 20만원 다운된 거 보고 호갱노릇한 게 억울허네요그냥 다른 사이트에서 살걸 그랬어요 ㅠㅠ,다이슨 TP09 쿨 포름알데히드 공기청정기
2,품질이나 배송은 만족하는데 어플가입이 어렵고 호환도 잘 안됨,다이슨 TP09 쿨 포름알데히드 공기청정기
2,달달달 쏴아아 시끄럽습니다 ㅜㅜ바람은 약하고 공기청정은 잘모르겠습니디,다이슨 TP09 쿨 포름알데히드 공기청정기
3,"여러 공청기 중에서 포름알데히드 제거 성능을 강조한 것 때문에 다이슨을 선택. 마침 11번가가 리뷰포인트 2만 증정 행사도 하고 가격 조건이 가장 괜찮아서 구매함.배송은 주문폭주라며 며칠 늦어졌지만 그래도 일주일은 안 걸렸던 거 같음.배송 과정에서 상자가 좀 눌려서 찢어지고 속에 제품 박스는 왜인지 모르겠지만 테이프가 떨어져있어서 반품 재포장 상품인가 하는 의심도 살짝 듦. 포장 뜯고 조립하면서도 아니 왜 이런 흔적이 있지? 싶어서 리퍼 제품을 비싸게 샀나 하는 의심도 들었으나 명확히 따지기 어려울 거 같아서 그냥 쓰기로 함.혼자 조립하기도 많이 어렵지 않았음. 제품등록하는데 숫자 0과 알파벳 O 구분이 잘 안돼있어서 아쉬웠음. 보통 숫자 0에는 가운데 선을 넣어 표시해주는 게 좋을 듯 싶음.필터 장착 후 자동모드하니까 초록 그래프가 뜨길래 4정도로 작동했더니 소음은 어느 정도 있었음. 잠잘 때가 아니면 크게 거슬릴 정도는 아닌듯. 밖에 미세먼지가 나쁜 날이었고, 사실 나와 엄마만 괴롭게 느끼는 거실 특정 구역에서 아랫집인지 옆집인지 어딘가에서 꾸준히 은근하게 올라오는 매캐한 담배냄새 때문에 괴로웠기에 일부러 그 자리에 놓고 작동 시켰는데 실내공기 괜찮다고 초록 그래프가 뜸ㅜㅜ그래서 일부러 가스 버너에 쥐포를 구워봤는데도 ㅠㅠ아버지가 방귀를 뀌어도 별 반응이 없었음ㅠㅠ국내 S사 공청기는 음식을 조리하거나 흡연 후 들어온 사람이 옆에 가면 주황색 경고등 뜨면서 작동을 한다던데, 다이슨은 너무 후하네 싶어짐. 혹시 불량인가 싶었지만 다음날까지 보기로 함. 그런데 날 내 방 창문을 열어뒀었는데 내 방으로 들고 가서 작동시키니까 주황 그래프 뜨면서 우와아아앙하고 공청기 돌아가는 소리가 나길래 아예 불량은 아니구나 싶어서 그냥 쓰기로 함.그러나 내 방 가구들 때문에 포름알데히드가 걱정돼서 다이슨 TP09를 산건데 사실 잘 모르겠음.일부러 내 방 창문과 방문을 하루종일 꼭 닫아놨다가 오후에 다이슨 공청기를 작동시켜 봤는데 그래도 초록 그래프가 뜨고ㅠㅠ작동은 하긴 하는데 금방 조용해짐ㅠㅠ나는 아직 청정하다고 못 느끼겠는데 얘는 공기 깨끗하다고 잠잠해지니까 만한 수준은 아닌듯. 그래도 안 하는 것보다는 낫겠지 싶어서 퇴근 후 오자마자 다이슨 작동시키고 잠자는 동안에도 작동시킴.결론 내 후각과 호흡기가 다이슨 공기청정기 필터보다 민감한 것 같음ㅠㅠ탈취는 취약한 거 같음.. . 다이슨 구매 후 국내 브랜드 ㅁㅍ공청기도 구매해서 자동 비교가 돼버렸는데 예민하기는 국내 브랜드 ㅁㅍ이 더 예민하게 작동함.다이슨은 가운데 구멍 뚫리고 가벼워서 . 위안이 됨.",다이슨 TP09 쿨 포름알데히드 공기청정기
3,"꽃가루때문에 공기청정기 되는것으로 구입했어요
바람세기 선풍기처럼 와 시원해 느낌은 아니고
전체적으로 흩뿌리듯 시원해요
알고 샀지만 역시나 사용시 소리가 커서
사용시 거슬려요
지지며
요",다이슨 TP09 쿨 포름알데히드 공기청정기
