Grade,Review,ItemNm
1,금일 물품 받았는데요제품이 비닐포장도 안되어있고박스 속에 그냥 들어있고박스도 제대로 포장된게 아니라 스카치테이프로덜렁거리게 붙여져있습니다만원짜리 택배도 이렇게는 안오는데반품들어온거 바로보낸건가요 포장이 이런식이 맞는지 확인부탁드려요답변보고 반품이나 교횐 고려하겠습니다,삼성전자 블루스카이 AX60N5580WDD
1,애기 출생 후 퇴원 날짜에 맞춰 주문한건대필터가 찢어져서 도착.신속히 필터 교체 요구.죄송하다는 말 하나도 없고..삼성에서 제품 받아 보내는거라 상관 없다는 식으로 답변만..말투도 기분나쁨.. 신xx님의 대응이 정말 대단하셨습니다!제가 처음 남기는 리뷰가 되었습니다!,삼성전자 블루스카이 AX60N5580WDD
1,받은 제품이 초기 불량인데 삼성전자 서비스에서 처리해 준다하고는 열흘이 지나도록 연락이 없습니다. 판매점에서는 원래 초기 불량은 삼성전자 서비스에서 직접 처리한다고 하네요. 서비스 기사분이 오셔서는 2019년 4월 생산품이라고 이게 아직도 팔리고 있냐고 합니다. 빨리 해결이 되면 좋겠네요.,삼성전자 블루스카이 AX60N5580WDD
1,자동인데 바람과 소음이 넘 커서 시끄러워 3일 쓰고 거의 안쓰게 되네요. 거의 삼성 제품 쓰고 있지만 이 공기청정기는 별로에요. 이 디자이너는 휴대폰 연결도 안되는 제품이에요. ㅠ반품도 하지 못하고 참 난감합니다.,삼성전자 블루스카이 AX60N5580WDD
1,바람소리가 생각보다 좀 크네요~ㅠ,삼성전자 블루스카이 AX60N5580WDD
1,소음이 크네요,삼성전자 블루스카이 AX60N5580WDD
1,한달이상 걸리나요? 짜증나네 ㅡㅡ,삼성전자 블루스카이 AX60N5580WDD
1,참 구매확정을 누르고싶은데 배송중이 한달동안떠있어서 못눌렀습니다. 문의해봐도 말만하고 안해주고요,삼성전자 블루스카이 AX60N5580WDD
1,배송기사 개어이없음 명색이 삼성이라는곳이 이런 곳인가 회의를 느낍니다 다시는 삼성구입인할것입니다,삼성전자 블루스카이 AX60N5580WDD
1,상품 교환건에 대한 절차가 복잡하다,삼성전자 블루스카이 AX60N5580WDD
1,배송이 너무 오래걸렸어요,삼성전자 블루스카이 AX60N5580WDD
1,배송늦음,삼성전자 블루스카이 AX60N5580WDD
1,19년5월 생산 재고품2년된 재고품,삼성전자 블루스카이 AX60N5580WDD
