Grade,Review,ItemNm
1,"타사제품이랑 막 비교하고 있는데 위닉스 라방이 딱! 일단 질러놓고 취소한다는 걸 엄청 빠른 배송으로 인해 고민하다 그냥 구매했구요ㅋ 근데 써보니 반응이 좀 느린 것 같아서 문의드리니, 원래 그렇게 만들어졌다고 해서 사용하기로 했어요. 아직 앱은 깔지 않았는데 타이머기능이 없어서 아쉽네요. 필터 관리 좀더 편하게 하려고 플러스케어 구매해서 쓰고 있구요. 좋은지는 좀더 써봐야할 것 같아요. 제품+필터값으로는 별 4개 근데 왜 별2개나면, 판매는 하면서 통화가 안된다는 거 이건 정말 불편하네요. 그렇다고 톡톡 답변은 아예 오지도 않고, 질문을 해도 답답하고. (심지어 아직 답변이 안 달린 것도 있네요) 차라리 네이버구매보다 다른 사이트 이용이 나을 것 같아요. 다시 생각해도 이 부분은 화가 나네요!",위닉스 프라임 APRM833-JWK
1,"(스피커 소리키우면 소리 들리실껍니당)

요 한달 동안 제품 자체는 별 5개줄정도로 확실히 좋습니다.


근데 제품 뽑기가잘못됐는지 벌써 2번째 AS라...부모님 이사가시면 타워프라임 똑같이 사드리려했는데 고민이고뭐고할것도없이 S사나 C사 제품사드릴까하네요 ㅡ.ㅡ;;

집에 공기청정기가 3대 있어서 비교를 안할수가없긴한데, C사제품은 리퍼제품 5만원주고샀는데도 4년넘게 고장한번안났는데 30만원짜리가 한달 반만에 2번이상있는거면 믿고사라는건지말라는건지 ㅋㅋㅋ


2월 9일 : 제품수령
3월 10일쯤?? : AS 신청했는데 기사님이 팬이 아닌 모터가 이상있는거같다하여 모터 교체
3월 21일(오늘) : 팬끼리 부딪히는소리인지 모터가 고장나서 소리가 나는지 모르겠는데 이상한 잡음이 또 나서 AS 신청

엄청 신중하게 생각하고 비교해서 고르는데만 3개월, 실사용은 2달도 안됐는데 벌써드는생각이 ''무상 2년지나면 바로 처분해야하나?' 라는 고민이 드는게 씁쓸하네요...",위닉스 프라임 APRM833-JWK
1,"여기저기 이동하기는 편리한데 미세먼지가 많은 날 환기시키고 전원을 켜도 빨간불이 안들어오네요
요즘 미세먼지가 더욱 심해져서 렌탈하고 있지만 추가로 구입한건데 후기가 좋아서 기대를 너무 많이 했나봐요 1단이어도 바람세기가 강하고 미세먼지 수치는 1~10사이만 왔다갔다해요",위닉스 프라임 APRM833-JWK
1,"여태 전자제품 주문하면서 충격방지 스티로폼이 이렇게 된 상품은 첨 받아보네요?? 누가 칼로 자른건지 어떻게 저렇게 올 수가 있을까요?? A/S기사님도 확인하시곤 이상하다는 말부터 하시네요 원래 위닉스 상품들은 스티로폼이 저렇게 옵니까?? 아니면 이곳에서만 구매한 제품들만 그런걸까요??

그리고 제품 불량인건지 왜 가끔 경보음이 울리고 필터교체등이 켜져있는지 모르겠네요 리셋만 지금 몇번하는지 모르겠습니다 ㅡㅡ 원래 이런건가요?? 리셋만 자꾸 하다보니깐 필터 수명 표시는 의미가 없네요 뭐 하러 있는 기능인가요?",위닉스 프라임 APRM833-JWK
1,"네이버 별점 ⭐ 처음으로 남겨봅니다!

2022.12.27일 오후(밤) 10:55분 주문을 하였고,
다음날 2022.12.28일 오전(새벽) 06:03분에 라이브톡 관련 문의를 했으나, 답변이 없었습니다.
라이브톡 구매가 처음이었고, 궁금증에 라이브확인을 해보니 어제보다 3만원이 저렴하게 나와있어 주문취소 얘기를 했으나 역시 답변이 없었습니다.
톡톡 상담가능시간이 09:00~17:00까지인데, 톡톡에는 응답이 없고 라이브톡으로 문의를 남기자 그제서야 11:30분에 답장을 주시며, 이미 발송처리가 되어 취소를 못한다는 답변이었는데 ""주문/배송""현황에는 발송처리전이었습니다.
이 상황을 소비자는 어떻게 받아들여야 할지....
3만원을 더 받아 이익을 남기려는 행동으로 밖에는 납득이 되지가 않습니다.
공기청정기 2개를 구매했고, 필요에 의해 상품을 사용하기는하나 고객 문의를 무시한 상담이 엄청 불쾌합니다.",위닉스 프라임 APRM833-JWK
1,위닉스는 냄새제거 기능은 없는건지 생선구워먹은지 몇일은 지났는데 청정기에서 생선비린네가 장난아니게 많이 뿜어져 나오네요~ 필터통 꺼내 보니 안에 냄새가 진동합니다~ 제가 사용을 잘못하는건지 냄새때문에 켜놓을수가 없네요~ 구입한지 한달도 되지 않았고 이거구입하고생선 3번정도 에어후라이기에 구워먹었습니다~생선구워먹을때 마다 필터교체해야 하는건지 설마 아니겠죠? 일단 페브리즈뿌려 베란다에 내놨어요~,위닉스 프라임 APRM833-JWK
1,"물건 구매한지 이틀만에 4만원이나 가격이 할인되었습니다. 물건 배송전인데도 할인된 가격에 사려면 반송비 내고 반송후 다시 사야 한다네요.
필터 하나 받으려고 박스 열어본 후에 알게 되어서 반품도 못하고 가격은 가격데로 다 주고 사게 되었네요.
이 업체에서 사시려면 가격 잘 알아보시고 더 싼값에 사세요. 여기는 하루 이틀만에 가격 떨어뜨리고도 할인된 가격에는 줄 수 없다고 합니다.
소비자 우롱하는 것도 아니고, 기분 참 나쁘네요.",위닉스 프라임 APRM833-JWK
1,"배송은 일주일 걸렸어요.
처음 며칠 좋아서 선물로 아들집에도 구매해줬는데..
한시간에 한번씩 숫자 6에서 500까지 무서운속도로 올라갑니다.
명절연휴라 서비스센터 전화도 연결안되구요.
연휴지나면 배송받고 14일 경과라 교환도 안될텐데..답답합니다.",위닉스 프라임 APRM833-JWK
1,다시는 융통성 없는 업체랑 거래안함..불량나서 다시 받기를 거진 2주정도 걸림..시간낭비.돈낭비.지대로 당함. 업체측을 이해할려고 해도 말이 이랬다.저랬다..고객을 혼동하게 말들면 본인들도 책임이 있다는 것을 명심하세요..,위닉스 프라임 APRM833-JWK
1,이거 왜 이러죠? 2일3일동안 계속 수치가500이 말이되나요?? 창문이 열려있는것도 아니고 방안공기가 500이나올정도로 아무리 안좋다 하더라도 몇시간이 지나도 500인거는 청정이안되는게 아닌가요?,위닉스 프라임 APRM833-JWK
